Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,GBH,GBD,GBA,IWH,IWD,IWA,SYH,SYD,SYA,WHH,WHD,WHA,Country,Season
SP2,2002-03-30,Albacete,Gimnastic,1,0,H,1,0,H,1.55,3.25,5.65,1.6,3.0,4.6,1.571,3.25,5.5,1.65,3.0,5.0,ES,2001/2002
SP2,2002-03-30,Cordoba,Poli Ejido,0,1,A,0,0,D,1.6,3.2,5.2,1.65,2.9,4.4,1.667,3.1,5.0,1.7,3.0,4.75,ES,2001/2002
SP2,2002-03-30,Elche,Ath Madrid,5,1,H,2,0,H,3.0,2.8,2.3,2.7,2.7,2.3,2.8,2.875,2.375,2.8,2.85,2.35,ES,2001/2002
SP2,2002-03-30,Leganes,Ferrol,2,2,D,1,1,D,2.35,2.7,3.0,2.3,2.7,2.7,2.3,2.75,3.1,2.35,2.85,2.8,ES,2001/2002
SP2,2002-03-30,Numancia,Oviedo,1,2,A,1,0,H,2.6,2.65,2.75,2.6,2.5,2.6,2.5,2.8,2.7,2.6,2.7,2.65,ES,2001/2002
SP2,2002-03-31,Badajoz,Extremadura,2,2,D,1,2,A,1.9,2.85,4.0,1.85,2.7,3.7,1.909,2.875,4.0,1.95,2.9,3.6,ES,2001/2002
SP2,2002-03-31,Levante,Eibar,0,0,D,0,0,D,2.4,2.7,2.92,2.3,2.6,2.8,2.375,2.75,2.9,2.35,2.85,2.8,ES,2001/2002
SP2,2002-03-31,Murcia,Xerez,0,0,D,0,0,D,2.67,2.7,2.6,2.6,2.6,2.5,2.5,2.8,2.7,2.6,2.75,2.6,ES,2001/2002
SP2,2002-03-31,Recreativo,Burgos,0,1,A,0,1,A,1.7,3.0,4.8,1.65,2.9,4.4,1.667,3.1,5.0,1.65,3.0,5.0,ES,2001/2002
SP2,2002-03-31,Salamanca,Jaen,0,1,A,0,1,A,1.75,3.0,4.5,1.75,2.8,4.0,1.8,3.0,4.333,1.75,2.9,4.5,ES,2001/2002
