Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,GBAHH,GBAHA,GBAH,Country,Season
I2,2003-11-20,Albinoleffe,Cagliari,0,0,D,0.0,0.0,D,2.5,2.6,2.9,2.55,2.55,2.9,2.4,2.5,2.8,2.5,2.5,3.0,2.5,2.5,3.1,2.5,2.65,2.8,1.9,1.75,,,,IT,2003/2004
I2,2003-11-20,Bari,Pescara,2,2,D,1.0,0.0,H,2.1,2.62,3.75,2.1,2.65,3.7,2.1,2.5,3.4,2.25,2.6,3.25,2.1,2.6,3.75,2.0,2.7,3.75,1.9,1.75,2.0,1.73,0.0,IT,2003/2004
I2,2003-11-20,Catania,Atalanta,1,1,D,1.0,1.0,D,2.62,2.62,2.75,2.75,2.6,2.65,2.6,2.5,2.6,2.75,2.6,2.6,2.7,2.6,2.7,2.75,2.65,2.55,1.95,1.71,1.9,1.8,-0.5,IT,2003/2004
I2,2003-11-20,Como,Salernitana,1,0,H,0.0,0.0,D,2.2,2.6,3.5,2.25,2.65,3.25,2.3,2.6,2.8,2.2,2.7,3.25,2.25,2.62,3.3,2.4,2.65,2.95,1.9,1.75,1.85,1.85,-0.25,IT,2003/2004
I2,2003-11-20,Fiorentina,Avellino,3,1,H,2.0,1.0,H,1.4,3.75,7.0,1.45,3.6,6.3,1.4,3.2,6.5,1.44,3.6,6.0,1.44,3.6,6.5,1.45,3.4,6.5,1.85,1.85,1.95,1.77,-1.25,IT,2003/2004
I2,2003-11-20,Genoa,Triestina,2,2,D,0.0,2.0,A,1.8,2.7,5.0,1.8,2.7,5.0,1.75,2.8,4.0,1.7,2.88,5.0,1.83,2.8,4.5,1.9,2.75,4.1,1.85,1.85,1.9,1.8,-0.75,IT,2003/2004
I2,2003-11-20,Napoli,Ternana,2,1,H,1.0,0.0,H,2.37,2.5,3.25,2.3,2.5,3.4,2.3,2.5,2.9,2.3,2.5,3.3,2.4,2.5,3.25,2.4,2.45,3.2,,,1.95,1.77,-0.25,IT,2003/2004
I2,2003-07-12,Cagliari,Verona,1,1,D,1.0,0.0,H,1.8,2.7,5.0,1.65,2.85,6.0,1.7,2.7,4.4,1.667,2.8,5.5,1.7,2.8,5.5,1.8,2.8,4.5,1.85,1.74,1.9,1.8,-0.75,IT,2003/2004
I2,2003-07-12,Livorno,Catania,2,2,D,1.0,0.0,H,1.85,2.6,5.0,1.75,2.65,5.55,1.8,2.5,4.3,1.727,2.8,5.0,1.8,2.7,5.0,1.85,2.7,4.5,1.9,1.7,1.75,1.95,-0.5,IT,2003/2004
I2,2003-07-12,Messina,Genoa,4,0,H,1.0,0.0,H,1.83,2.5,5.5,1.85,2.65,4.75,1.85,2.5,4.1,2.0,2.6,4.0,1.9,2.62,4.5,1.85,2.7,4.5,1.95,1.65,1.85,1.85,-0.5,IT,2003/2004
I2,2003-07-12,Palermo,Albinoleffe,2,1,H,2.0,1.0,H,1.4,3.5,8.0,1.35,3.75,8.5,1.35,3.3,7.5,1.333,4.0,8.0,1.36,3.75,8.0,1.3,4.2,8.0,1.74,1.85,1.75,1.95,-1.25,IT,2003/2004
I2,2003-07-12,Pescara,Vicenza,0,0,D,0.0,0.0,D,2.0,2.5,4.5,1.95,2.5,4.75,1.9,2.5,4.0,1.833,2.6,5.0,1.9,2.62,4.5,1.9,2.6,4.5,2.1,1.56,1.65,2.05,-0.25,IT,2003/2004
I2,2003-07-12,Salernitana,Treviso,0,0,D,0.0,0.0,D,2.1,2.5,4.0,2.1,2.5,4.0,2.1,2.5,3.4,2.0,2.5,4.333,2.1,2.6,3.75,2.1,2.5,3.9,2.1,1.56,1.8,1.9,-0.25,IT,2003/2004
I2,2003-07-12,Ternana,Piacenza,2,0,H,1.0,0.0,H,2.1,2.5,4.0,2.0,2.5,4.35,1.9,2.5,4.0,1.909,2.6,4.5,2.0,2.6,4.2,2.0,2.5,4.2,1.95,1.66,1.7,2.0,-0.25,IT,2003/2004
I2,2003-07-12,Torino,Triestina,1,1,D,0.0,1.0,A,1.57,3.1,6.0,1.55,3.1,6.5,1.45,3.0,6.2,1.5,3.2,6.5,1.5,3.25,6.5,1.55,3.25,5.5,1.74,1.85,1.75,1.95,-0.75,IT,2003/2004
I2,2003-07-12,Venezia,Napoli,0,0,D,0.0,0.0,D,2.25,2.5,3.6,2.35,2.5,3.3,2.3,2.5,2.9,2.375,2.5,3.2,2.3,2.5,3.4,2.3,2.4,3.5,2.0,1.61,1.75,1.95,0.0,IT,2003/2004
I2,2003-12-14,Albinoleffe,Messina,0,0,D,0.0,0.0,D,2.6,2.5,2.9,2.6,2.5,2.9,2.6,2.4,2.7,2.7,2.5,2.75,2.5,2.5,3.1,2.4,2.45,3.25,1.95,1.66,1.8,1.9,0.0,IT,2003/2004
I2,2003-12-14,Bari,Como,1,0,H,1.0,0.0,H,1.8,2.7,5.0,1.75,2.75,5.2,1.8,2.6,4.1,1.8,2.625,5.0,1.8,2.75,4.8,1.85,2.6,4.75,1.95,1.66,1.75,1.95,-0.5,IT,2003/2004
I2,2003-12-14,Catania,Napoli,1,0,H,0.0,0.0,D,2.3,2.5,3.5,2.3,2.4,3.6,2.4,2.3,3.0,2.4,2.5,3.2,2.3,2.5,3.4,2.3,2.4,3.5,2.1,1.56,1.75,1.95,0.0,IT,2003/2004
I2,2003-12-14,Fiorentina,Venezia,1,1,D,0.0,1.0,A,2.1,2.5,4.0,2.0,2.45,4.5,2.0,2.4,3.8,2.0,2.6,4.0,2.0,2.6,4.2,1.9,2.6,4.5,2.1,1.56,2.0,1.7,-0.5,IT,2003/2004
I2,2003-12-14,Genoa,Avellino,1,1,D,1.0,1.0,D,1.571,3.25,5.5,1.55,3.15,6.0,1.5,3.1,5.2,1.5,3.4,6.0,1.53,3.25,6.0,1.55,3.0,6.5,1.74,1.85,1.85,1.85,-0.75,IT,2003/2004
I2,2003-12-14,Livorno,Atalanta,0,0,D,0.0,0.0,D,2.6,2.4,3.1,2.65,2.4,3.0,2.6,2.3,2.8,2.6,2.4,3.0,2.62,2.4,3.1,2.65,2.3,3.1,2.2,1.51,1.85,1.85,0.0,IT,2003/2004
I2,2003-12-14,Piacenza,Torino,2,0,H,0.0,0.0,D,2.25,2.375,3.8,2.35,2.4,3.5,2.4,2.4,2.9,2.3,2.4,3.5,2.3,2.5,3.4,2.2,2.4,3.75,2.1,1.56,1.75,1.95,0.0,IT,2003/2004
I2,2004-11-01,Catania,Triestina,0,1,A,0.0,0.0,D,1.83,2.62,5.0,1.85,2.6,5.0,1.85,2.5,4.2,1.83,2.75,4.5,1.85,2.7,4.75,1.85,2.6,4.5,1.9,1.7,1.85,1.86,-0.5,IT,2003/2004
I2,2004-11-01,Como,Messina,1,1,D,1.0,0.0,H,2.5,2.62,2.87,2.7,2.55,2.75,2.65,2.4,2.65,2.7,2.6,2.6,2.7,2.5,2.8,2.65,2.5,2.7,2.0,1.61,1.86,1.85,0.0,IT,2003/2004
I2,2004-11-01,Napoli,Genoa,0,0,D,0.0,0.0,D,1.72,2.75,5.5,1.7,2.75,5.65,1.7,2.6,4.6,1.73,2.8,5.0,1.73,2.75,5.5,1.8,2.45,5.5,2.0,1.61,1.7,2.05,-0.5,IT,2003/2004
I2,2004-11-01,Palermo,Livorno,4,1,H,1.0,0.0,H,1.8,2.7,5.0,1.72,2.7,5.7,1.75,2.6,4.4,1.73,2.7,5.5,1.75,2.75,5.2,1.8,2.6,4.8,2.0,1.61,1.72,2.0,-0.5,IT,2003/2004
I2,2004-11-01,Pescara,Verona,2,1,H,1.0,1.0,D,1.9,2.62,4.5,1.93,2.55,4.6,1.9,2.5,3.9,1.9,2.62,4.33,1.91,2.62,4.5,1.85,2.5,4.8,2.2,1.51,2.2,1.6,-0.25,IT,2003/2004
I2,2004-11-01,Piacenza,Bari,1,0,H,0.0,0.0,D,1.5,3.0,8.0,1.5,3.0,7.0,1.5,3.0,5.5,1.53,3.0,7.0,1.53,3.1,6.5,1.5,3.1,6.3,2.2,1.51,1.85,1.86,-1.0,IT,2003/2004
I2,2004-11-01,Torino,Fiorentina,1,1,D,1.0,0.0,H,2.0,2.62,4.0,2.05,2.55,4.0,2.1,2.5,3.3,2.1,2.6,3.6,2.0,2.6,4.2,1.9,2.6,4.2,2.1,1.56,1.79,1.92,-0.25,IT,2003/2004
I2,2004-11-01,Venezia,Ternana,0,1,A,0.0,1.0,A,2.62,2.62,2.75,2.6,2.5,2.9,2.6,2.4,2.7,2.6,2.5,2.88,2.62,2.5,2.88,2.55,2.5,2.8,2.0,1.61,1.81,1.9,0.0,IT,2003/2004
I2,2004-11-01,Vicenza,Salernitana,3,1,H,1.0,1.0,D,2.3,2.5,3.4,2.25,2.5,3.5,2.2,2.5,3.1,2.3,2.6,3.2,2.25,2.5,3.6,2.3,2.55,3.1,2.1,1.56,1.62,2.15,0.0,IT,2003/2004
I2,2004-01-16,Fiorentina,Cagliari,2,1,H,1.0,0.0,H,2.0,2.5,4.5,2.0,2.55,4.25,2.0,2.4,3.8,,,,2.1,2.6,3.75,2.1,2.5,3.8,1.95,1.66,2.0,1.73,-0.5,IT,2003/2004
I2,2004-01-18,Albinoleffe,Napoli,1,0,H,0.0,0.0,D,2.62,2.37,2.87,2.65,2.4,3.0,2.6,2.2,3.0,2.38,2.4,3.4,2.62,2.38,3.1,2.6,2.35,3.1,2.3,1.46,2.35,1.53,-0.25,IT,2003/2004
I2,2004-01-18,Bari,Palermo,2,1,H,2.0,1.0,H,3.0,2.5,2.5,3.05,2.45,2.55,3.0,2.3,2.5,3.2,2.5,2.38,3.1,2.4,2.6,2.85,2.4,2.7,2.2,1.51,1.85,1.85,0.0,IT,2003/2004
I2,2004-01-18,Genoa,Piacenza,1,1,D,0.0,1.0,A,2.4,2.5,3.2,2.5,2.4,3.2,2.4,2.3,3.1,2.38,2.5,3.2,2.5,2.4,3.25,2.2,2.4,3.75,2.6,1.36,2.2,1.61,-0.25,IT,2003/2004
I2,2004-01-18,Livorno,Vicenza,1,2,A,0.0,1.0,A,1.72,2.75,5.5,1.75,2.6,5.8,1.85,2.5,4.3,1.73,2.7,5.5,1.75,2.62,5.75,1.7,2.75,5.5,2.2,1.51,1.75,1.97,-0.5,IT,2003/2004
I2,2004-01-18,Messina,Torino,1,1,D,1.0,0.0,H,2.1,2.5,4.0,2.15,2.45,3.9,2.1,2.4,3.6,2.0,2.6,4.0,2.2,2.5,3.75,2.15,2.4,4.0,1.9,1.7,1.9,1.8,-0.25,IT,2003/2004
I2,2004-01-18,Salernitana,Atalanta,1,3,A,1.0,2.0,A,2.75,2.5,2.75,2.7,2.35,3.0,2.7,2.3,2.8,2.8,2.4,2.8,2.7,2.38,3.0,2.8,2.4,2.8,2.2,1.51,1.85,1.85,0.0,IT,2003/2004
I2,2004-01-18,Ternana,Pescara,3,0,H,1.0,0.0,H,1.66,2.87,5.5,1.6,2.85,6.5,1.6,2.7,6.0,1.5,3.2,6.5,1.62,2.88,6.5,1.6,2.7,7.0,1.9,1.7,1.87,1.84,-0.75,IT,2003/2004
I2,2004-01-18,Treviso,Ascoli,3,1,H,1.0,0.0,H,2.0,2.5,4.5,2.1,2.45,4.1,2.1,2.4,3.6,2.1,2.38,4.33,2.1,2.5,4.0,2.05,2.45,4.25,2.0,1.61,1.82,1.89,-0.25,IT,2003/2004
I2,2004-01-18,Triestina,Venezia,1,0,H,0.0,0.0,D,1.8,2.75,5.0,1.75,2.6,5.8,1.85,2.4,4.6,1.67,2.62,6.5,1.8,2.62,5.25,1.85,2.55,5.0,2.0,1.61,1.75,1.97,-0.5,IT,2003/2004
I2,2004-01-18,Verona,Como,1,0,H,0.0,0.0,D,2.0,2.5,4.5,2.0,2.5,4.4,2.0,2.4,3.8,2.0,2.6,4.0,2.0,2.6,4.2,2.1,2.45,4.0,2.3,1.46,2.0,1.73,-0.5,IT,2003/2004
I2,2004-01-19,Avellino,Catania,0,0,D,0.0,0.0,D,2.75,2.75,2.5,2.7,2.75,2.55,2.8,2.4,2.6,2.75,2.62,2.6,2.8,2.7,2.5,2.75,2.6,2.6,1.9,1.7,1.85,1.85,0.0,IT,2003/2004
I2,2004-01-23,Napoli,Verona,2,2,D,2.0,1.0,H,1.9,2.5,5.0,1.9,2.4,5.4,1.85,2.4,4.5,1.91,2.6,4.5,1.85,2.62,4.8,2.0,2.2,5.5,2.2,1.51,1.88,1.83,-0.5,IT,2003/2004
I2,2004-01-25,Ascoli,Cagliari,1,1,D,1.0,1.0,D,2.3,2.62,3.2,2.35,2.45,3.4,2.3,2.4,3.0,2.25,2.5,3.5,2.3,2.5,3.4,2.35,2.5,3.25,1.85,1.74,2.05,1.7,-0.25,IT,2003/2004
I2,2004-01-25,Atalanta,Fiorentina,1,1,D,0.0,1.0,A,1.9,2.5,5.0,2.0,2.45,4.6,1.9,2.5,3.9,2.0,2.5,4.33,1.91,2.62,4.5,1.85,2.6,4.75,2.1,1.56,1.79,1.92,-0.25,IT,2003/2004
I2,2004-01-25,Catania,Venezia,3,0,H,0.0,0.0,D,1.8,2.6,5.5,1.8,2.6,5.4,1.75,2.6,4.5,1.83,2.6,5.0,1.8,2.7,5.0,1.75,2.65,5.5,2.0,1.61,1.8,1.91,-0.5,IT,2003/2004
I2,2004-01-25,Livorno,Albinoleffe,3,0,H,1.0,0.0,H,1.72,2.75,5.5,1.7,2.7,6.0,1.65,2.7,4.8,1.73,2.7,5.5,1.7,2.8,5.5,1.65,2.75,6.0,1.9,1.7,1.95,1.77,-0.75,IT,2003/2004
I2,2004-01-25,Palermo,Salernitana,0,2,A,0.0,0.0,D,1.57,3.25,5.5,1.5,3.2,6.8,1.5,3.0,5.5,1.5,3.2,6.5,1.5,3.25,6.5,1.55,3.0,6.5,1.85,1.74,1.95,1.77,-1.0,IT,2003/2004
I2,2004-01-25,Pescara,Como,1,1,D,1.0,0.0,H,1.8,2.6,5.5,1.8,2.6,5.3,1.75,2.6,4.5,1.75,2.62,5.5,1.8,2.7,5.0,1.7,2.7,5.75,2.1,1.56,1.75,1.97,-0.5,IT,2003/2004
I2,2004-01-25,Torino,Avellino,2,2,D,1.0,1.0,D,1.36,3.75,8.0,1.4,3.5,8.0,1.35,3.2,8.0,1.36,3.75,7.5,1.33,4.0,8.0,1.45,3.5,6.25,1.74,1.85,1.9,1.83,-1.25,IT,2003/2004
I2,2004-01-25,Treviso,Genoa,1,0,H,0.0,0.0,D,1.83,2.62,5.0,1.85,2.55,5.1,1.85,2.5,4.2,1.83,2.6,5.0,1.83,2.7,4.75,1.85,2.6,4.75,2.0,1.61,1.9,1.81,-0.5,IT,2003/2004
I2,2004-01-25,Triestina,Messina,1,1,D,0.0,0.0,D,2.25,2.5,3.6,2.2,2.4,3.9,2.2,2.4,3.3,2.25,2.4,3.6,2.25,2.5,3.6,2.2,2.4,3.75,1.95,1.66,1.92,1.79,-0.25,IT,2003/2004
I2,2004-01-25,Vicenza,Piacenza,0,1,A,0.0,1.0,A,2.5,2.4,3.25,2.4,2.35,3.5,2.4,2.3,3.0,2.38,2.4,3.4,2.4,2.4,3.4,2.4,2.3,3.5,2.2,1.51,1.77,1.95,0.0,IT,2003/2004
I2,2004-01-26,Ternana,Bari,0,0,D,0.0,0.0,D,1.66,2.8,6.0,1.7,2.7,6.0,1.65,2.7,4.8,1.67,2.7,6.0,1.67,2.88,5.5,1.6,2.8,6.75,1.9,1.7,1.8,1.91,-0.75,IT,2003/2004
I2,2004-01-30,Messina,Livorno,2,1,H,0.0,0.0,D,2.1,2.5,4.0,2.0,2.45,4.6,2.0,2.4,3.8,1.9,2.5,5.0,2.05,2.5,4.2,2.1,2.4,4.2,2.1,1.56,2.0,1.73,-0.5,IT,2003/2004
I2,2004-01-02,Albinoleffe,Treviso,1,0,H,1.0,0.0,H,2.5,2.5,3.1,2.5,2.45,3.15,2.5,2.4,2.8,2.4,2.4,3.4,2.5,2.5,3.1,2.35,2.35,3.5,2.1,1.56,1.77,1.95,0.0,IT,2003/2004
I2,2004-01-02,Avellino,Triestina,1,0,H,0.0,0.0,D,2.75,2.5,2.75,2.7,2.6,2.7,2.6,2.5,2.6,2.8,2.7,2.5,2.8,2.6,2.6,2.9,2.35,2.75,1.85,1.74,1.85,1.85,0.0,IT,2003/2004
I2,2004-01-02,Bari,Vicenza,2,1,H,1.0,1.0,D,1.909,2.625,4.5,1.85,2.6,5.0,1.85,2.5,4.2,1.8,2.7,5.0,1.9,2.62,4.5,2.1,2.5,3.85,2.2,1.51,1.85,1.86,-0.5,IT,2003/2004
I2,2004-01-02,Cagliari,Catania,2,1,H,0.0,0.0,D,1.909,2.625,4.5,1.8,2.7,5.0,1.8,2.6,4.2,1.75,2.7,5.5,1.85,2.75,4.5,1.8,2.5,5.5,1.8,1.8,1.8,1.91,-0.5,IT,2003/2004
I2,2004-01-02,Como,Napoli,2,0,H,0.0,0.0,D,2.375,2.5,3.25,2.4,2.4,3.4,2.4,2.4,2.9,2.5,2.4,3.25,2.4,2.4,3.4,2.7,2.1,3.5,2.45,1.41,1.77,1.95,0.0,IT,2003/2004
I2,2004-01-02,Fiorentina,Pescara,1,1,D,1.0,0.0,H,1.571,3.0,6.5,1.5,3.1,7.2,1.45,3.1,6.0,1.444,3.3,7.5,1.53,3.1,6.5,1.55,2.9,7.0,1.9,1.7,1.8,1.91,-1.0,IT,2003/2004
I2,2004-01-02,Genoa,Ascoli,1,1,D,1.0,1.0,D,2.0,2.625,4.0,2.0,2.5,4.4,2.0,2.5,3.6,2.1,2.4,4.2,2.05,2.6,4.0,2.2,2.4,3.75,1.95,1.66,2.0,1.73,-0.5,IT,2003/2004
I2,2004-01-02,Salernitana,Torino,2,0,H,0.0,0.0,D,2.3,2.5,3.4,2.25,2.5,3.5,2.2,2.5,3.1,2.25,2.5,3.6,2.3,2.5,3.4,2.3,2.4,3.5,2.1,1.56,1.73,2.0,0.0,IT,2003/2004
I2,2004-01-02,Venezia,Atalanta,1,0,H,0.0,0.0,D,3.2,2.5,2.4,3.1,2.45,2.5,2.9,2.4,2.4,3.2,2.5,2.4,3.2,2.5,2.4,3.3,2.4,2.4,2.2,1.51,1.7,2.05,0.25,IT,2003/2004
I2,2004-01-02,Verona,Ternana,3,2,H,3.0,0.0,H,2.625,2.625,2.75,2.6,2.5,2.9,2.6,2.4,2.7,2.6,2.5,2.9,2.6,2.5,2.9,2.5,2.5,3.0,2.0,1.61,1.81,1.9,0.0,IT,2003/2004
I2,2004-02-02,Piacenza,Palermo,2,2,D,1.0,0.0,H,2.25,2.5,3.6,2.3,2.45,3.5,2.3,2.4,3.0,2.2,2.6,3.5,2.3,2.5,3.4,2.2,2.5,3.6,2.45,1.41,2.05,1.7,-0.25,IT,2003/2004
I2,2004-06-02,Treviso,Verona,0,2,A,0.0,1.0,A,1.909,2.625,4.5,2.0,2.5,4.5,1.9,2.5,4.0,2.0,2.5,4.333,1.9,2.6,4.6,1.9,2.6,4.25,2.1,1.62,2.0,1.73,-0.5,IT,2003/2004
I2,2004-08-02,Ascoli,Salernitana,0,0,D,0.0,0.0,D,2.25,2.625,3.5,2.3,2.5,3.5,2.3,2.5,2.9,2.3,2.6,3.2,2.25,2.6,3.4,2.2,2.45,3.5,1.95,1.66,1.86,1.85,-0.25,IT,2003/2004
I2,2004-08-02,Atalanta,Piacenza,0,1,A,0.0,1.0,A,2.0,2.5,4.5,2.0,2.45,4.6,1.9,2.4,4.2,2.1,2.5,4.0,2.0,2.5,4.5,1.95,2.45,4.4,2.2,1.51,1.8,1.91,-0.25,IT,2003/2004
I2,2004-08-02,Catania,Como,0,0,D,0.0,0.0,D,1.727,2.75,6.0,1.8,2.6,5.5,1.7,2.7,4.4,1.727,2.7,5.5,1.72,2.8,5.2,1.75,2.65,5.0,2.0,1.61,1.8,1.91,-0.5,IT,2003/2004
I2,2004-08-02,Livorno,Genoa,1,1,D,1.0,1.0,D,1.727,2.75,6.0,1.8,2.6,5.5,1.7,2.7,4.4,1.8,2.5,5.5,1.7,2.8,5.5,1.7,2.65,5.5,2.0,1.61,1.8,1.91,-0.5,IT,2003/2004
I2,2004-08-02,Napoli,Messina,1,0,H,0.0,0.0,D,2.5,2.5,3.2,2.5,2.4,3.2,2.5,2.4,2.8,2.6,2.5,2.9,2.5,2.5,3.1,2.5,2.4,3.0,2.2,1.51,1.73,2.0,0.0,IT,2003/2004
I2,2004-08-02,Palermo,Avellino,1,1,D,1.0,0.0,H,1.333,4.0,8.5,1.3,4.2,8.5,1.35,3.3,7.5,1.333,4.0,8.0,1.33,4.0,8.0,1.4,3.45,7.0,1.7,1.9,1.77,1.95,-1.25,IT,2003/2004
I2,2004-08-02,Pescara,Cagliari,0,1,A,0.0,1.0,A,2.4,2.5,3.25,2.35,2.45,3.4,2.3,2.4,3.0,2.3,2.5,3.4,2.3,2.5,3.4,2.2,2.45,3.5,1.95,1.66,1.77,1.95,0.0,IT,2003/2004
I2,2004-08-02,Ternana,Albinoleffe,0,0,D,0.0,0.0,D,1.5,3.25,7.0,1.5,3.2,7.0,1.5,3.0,5.5,1.444,3.4,7.0,1.5,3.25,6.5,1.45,3.25,6.75,1.74,1.85,1.91,1.8,-1.0,IT,2003/2004
I2,2004-08-02,Triestina,Fiorentina,2,1,H,1.0,1.0,D,2.4,2.5,3.25,2.4,2.45,3.4,2.4,2.4,2.9,2.25,2.6,3.3,2.37,2.5,3.25,2.35,2.45,3.2,1.95,1.66,2.05,1.7,-0.25,IT,2003/2004
I2,2004-08-02,Vicenza,Venezia,3,1,H,2.0,1.0,H,2.2,2.5,3.75,2.15,2.5,3.85,2.1,2.4,3.5,2.0,2.5,4.333,2.2,2.5,3.75,2.15,2.3,4.0,2.2,1.51,1.82,1.89,-0.25,IT,2003/2004
I2,2004-09-02,Torino,Bari,3,2,H,2.0,1.0,H,1.8,2.75,5.0,1.85,2.6,5.0,1.85,2.4,4.4,1.9,2.6,4.5,1.8,2.7,5.0,1.85,2.6,4.5,1.95,1.66,1.85,1.86,-0.5,IT,2003/2004
I2,2004-02-13,Albinoleffe,Atalanta,0,4,A,0.0,2.0,A,3.5,2.75,2.1,4.0,2.7,1.95,3.5,2.5,2.0,4.0,2.8,1.9,4.0,2.7,2.0,4.25,2.8,1.8,1.95,1.66,1.92,1.79,0.25,IT,2003/2004
I2,2004-02-15,Avellino,Livorno,1,1,D,0.0,1.0,A,2.5,2.5,3.1,2.55,2.6,2.85,2.5,2.5,2.7,2.5,2.625,2.875,2.5,2.6,2.9,2.5,2.4,3.1,1.95,1.66,1.85,1.85,0.0,IT,2003/2004
I2,2004-02-15,Bari,Treviso,0,0,D,0.0,0.0,D,1.909,2.625,4.5,1.9,2.65,4.5,1.85,2.5,4.1,1.833,2.6,5.0,1.9,2.62,4.5,1.95,2.5,4.25,2.2,1.51,1.9,1.67,-0.5,IT,2003/2004
I2,2004-02-15,Cagliari,Palermo,3,2,H,1.0,0.0,H,2.2,2.5,3.75,2.25,2.5,3.5,2.2,2.4,3.3,2.2,2.5,3.6,2.25,2.5,3.6,2.2,2.5,3.4,1.9,1.7,2.0,1.73,-0.25,IT,2003/2004
I2,2004-02-15,Como,Ascoli,2,1,H,0.0,1.0,A,2.3,2.5,3.4,2.25,2.5,3.5,2.2,2.4,3.3,2.0,2.625,4.0,2.25,2.5,3.6,2.35,2.4,3.3,2.2,1.51,2.0,1.73,-0.25,IT,2003/2004
I2,2004-02-15,Fiorentina,Vicenza,1,1,D,0.0,1.0,A,1.8,2.7,5.0,1.75,2.65,5.5,1.7,2.5,5.1,1.727,2.7,5.5,1.72,2.75,5.5,1.75,2.55,5.5,1.95,1.66,2.0,1.73,-0.75,IT,2003/2004
I2,2004-02-15,Genoa,Torino,2,1,H,1.0,1.0,D,2.4,2.5,3.25,2.35,2.45,3.4,2.4,2.4,2.9,2.25,2.5,3.5,2.37,2.5,3.25,2.4,2.4,3.2,2.2,1.51,1.77,1.95,0.0,IT,2003/2004
I2,2004-07-03,Triestina,Atalanta,1,1,D,0.0,1.0,A,2.5,2.6,2.9,2.35,2.45,3.45,2.3,2.4,3.0,2.5,2.38,3.2,2.5,2.4,3.25,2.5,2.4,3.0,1.9,1.7,2.35,1.43,-0.5,IT,2003/2004
I2,2004-07-03,Vicenza,Catania,2,0,H,1.0,0.0,H,2.2,2.5,3.75,2.1,2.55,3.85,2.1,2.4,3.5,2.1,2.6,3.6,2.1,2.5,4.0,2.1,2.5,3.7,1.95,1.66,2.1,1.53,-0.5,IT,2003/2004
I2,2004-08-03,Ascoli,Bari,0,0,D,0.0,0.0,D,1.9,2.62,4.5,2.2,2.5,3.65,2.2,2.4,3.2,2.1,2.62,3.6,2.1,2.6,3.75,2.0,2.6,3.8,1.95,1.66,2.2,1.48,-0.5,IT,2003/2004
I2,2004-08-03,Ternana,Cagliari,1,1,D,1.0,0.0,H,2.25,2.5,3.5,2.2,2.5,3.65,2.4,2.4,2.9,2.1,2.62,3.6,2.2,2.6,3.5,2.15,2.5,3.55,1.8,1.8,2.2,1.48,-0.5,IT,2003/2004
I2,2004-12-03,Albinoleffe,Genoa,0,0,D,0.0,0.0,D,2.2,2.625,3.4,2.3,2.6,3.25,2.3,2.4,3.0,2.3,2.5,3.3,2.25,2.62,3.3,2.4,2.5,3.1,2.3,1.46,2.05,1.7,-0.25,IT,2003/2004
I2,2004-12-03,Fiorentina,Palermo,2,1,H,1.0,1.0,D,2.5,2.5,3.1,2.6,2.5,2.9,2.5,2.4,2.8,2.6,2.5,2.9,2.4,2.5,3.2,2.5,2.4,3.1,2.2,1.51,2.6,1.34,-0.5,IT,2003/2004
I2,2004-03-14,Avellino,Salernitana,2,1,H,0.0,0.0,D,2.3,2.625,3.2,2.3,2.6,3.25,2.3,2.5,2.9,2.3,2.625,3.2,2.3,2.5,3.4,2.4,2.5,3.1,2.0,1.61,2.0,1.73,-0.25,IT,2003/2004
I2,2004-03-14,Bari,Livorno,3,2,H,1.0,0.0,H,2.5,2.5,3.1,2.55,2.5,3.0,2.5,2.4,2.8,2.5,2.4,3.2,2.5,2.6,2.9,2.5,2.5,3.0,2.0,1.61,2.55,1.36,-0.5,IT,2003/2004
I2,2004-03-14,Cagliari,Torino,0,0,D,0.0,0.0,D,1.833,2.7,4.75,1.9,2.6,4.6,1.9,2.5,4.0,1.833,2.6,5.0,1.91,2.62,4.5,1.9,2.5,4.75,1.93,1.7,1.9,1.66,-0.5,IT,2003/2004
I2,2004-03-14,Catania,Ternana,1,1,D,1.0,1.0,D,2.25,2.5,3.6,2.2,2.5,3.65,2.2,2.4,3.3,2.3,2.5,3.3,2.2,2.62,3.4,2.2,2.5,3.6,1.95,1.69,2.1,1.67,-0.25,IT,2003/2004
I2,2004-03-14,Como,Vicenza,0,1,A,0.0,0.0,D,2.3,2.625,3.2,2.25,2.5,3.5,2.3,2.4,3.0,2.2,2.6,3.4,2.25,2.62,3.3,2.2,2.5,3.6,2.0,1.65,1.95,1.77,-0.25,IT,2003/2004
I2,2004-03-14,Napoli,Treviso,1,0,H,1.0,0.0,H,1.909,2.625,4.5,1.75,2.6,5.8,1.8,2.5,4.4,1.833,2.6,5.0,1.83,2.6,5.0,1.9,2.5,4.75,2.2,1.51,1.75,1.8,-0.5,IT,2003/2004
I2,2004-03-14,Pescara,Atalanta,0,0,D,0.0,0.0,D,2.75,2.5,2.75,2.75,2.4,2.9,2.7,2.3,2.7,2.875,2.5,2.6,2.7,2.6,2.7,2.8,2.4,2.75,2.1,1.56,2.75,1.31,-0.5,IT,2003/2004
