Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,GBH,GBD,GBA,IWH,IWD,IWA,WHH,WHD,WHA,Country,Season
I2,2001-03-16,Treviso,Venezia,0,1,A,0,1,A,3.0,2.55,2.45,2.8,2.4,2.5,2.9,2.35,2.7,IT,2000/2001
I2,2001-03-18,Ancona,Chievo,5,2,H,3,2,H,2.75,2.15,3.3,2.4,2.4,2.9,,,,IT,2000/2001
I2,2001-03-18,Cagliari,Sampdoria,1,1,D,0,1,A,2.3,2.55,3.25,2.2,2.4,3.2,2.25,2.35,3.75,IT,2000/2001
I2,2001-03-18,Cittadella,Monza,0,1,A,0,0,D,1.7,2.85,5.2,1.7,2.7,4.5,1.75,2.7,5.0,IT,2000/2001
I2,2001-03-18,Crotone,Pistoiese,1,0,H,0,0,D,1.7,2.8,5.25,1.7,2.7,4.5,1.75,2.65,5.25,IT,2000/2001
I2,2001-03-18,Genoa,Pescara,0,0,D,0,0,D,1.75,2.8,4.8,1.8,2.7,4.0,,,,IT,2000/2001
I2,2001-03-18,Ravenna,Empoli,0,2,A,0,0,D,2.45,2.6,2.95,2.2,2.5,3.1,2.35,2.7,2.9,IT,2000/2001
I2,2001-03-18,Salernitana,Ternana,0,0,D,0,0,D,2.35,2.5,3.25,2.4,2.4,2.9,,,,IT,2000/2001
I2,2001-03-18,Torino,Piacenza,1,0,H,0,0,D,1.9,2.7,4.2,1.9,2.4,4.1,2.0,2.5,4.2,IT,2000/2001
I2,2001-03-19,Siena,Cosenza,1,0,H,0,0,D,2.65,1.85,4.2,2.3,2.3,3.2,,,,IT,2000/2001
I2,2001-03-23,Monza,Ternana,1,1,D,0,0,D,2.55,2.45,3.0,2.5,2.2,3.0,2.45,2.5,3.0,IT,2000/2001
I2,2001-03-25,Ancona,Pescara,3,2,H,1,2,A,1.62,2.9,5.75,1.7,2.7,4.2,1.7,2.75,5.3,IT,2000/2001
I2,2001-03-25,Cosenza,Genoa,1,0,H,0,0,D,1.7,2.8,5.25,1.75,2.6,4.2,1.8,2.6,5.0,IT,2000/2001
I2,2001-03-25,Piacenza,Salernitana,3,1,H,2,0,H,1.5,3.1,6.75,1.5,2.9,5.5,1.5,3.3,5.75,IT,2000/2001
I2,2001-03-25,Pistoiese,Cagliari,4,2,H,2,1,H,2.4,2.4,3.3,2.2,2.4,3.1,2.2,2.7,3.15,IT,2000/2001
I2,2001-03-25,Ravenna,Treviso,1,1,D,1,1,D,2.37,2.55,3.1,,,,2.45,2.75,2.7,IT,2000/2001
I2,2001-03-25,Sampdoria,Crotone,2,1,H,2,0,H,1.63,2.85,5.75,1.65,2.7,4.4,1.55,3.2,5.5,IT,2000/2001
I2,2001-03-25,Torino,Cittadella,2,2,D,1,1,D,1.35,3.55,8.6,1.3,3.5,8.0,1.3,3.9,8.5,IT,2000/2001
I2,2001-03-25,Venezia,Siena,3,0,H,1,0,H,1.5,3.0,7.25,1.45,2.8,7.0,1.4,3.4,7.5,IT,2000/2001
